"round","date","nSamples","nPos","phat","ssw"
14,2021-09-27,3851,21,0.00596586271763373,0.000344426704724497
14,2021-09-28,349,9,0.0292375907381552,0.00365515843124152
14,2021-09-29,154,0,0,0.00811544182906377
14,2021-09-30,6,0,0,0.197039019470132
15,2021-10-19,1571,19,0.0150906613802339,0.00083385055899835
15,2021-10-20,3282,57,0.0205899652872067,0.00040154234386591
15,2021-10-21,4356,75,0.0216942658431502,0.000298913702112169
15,2021-10-22,5371,102,0.0195692246464325,0.000245163874455201
15,2021-10-23,3703,80,0.0244216231306071,0.00035215920745115
15,2021-10-24,2306,37,0.0174102041095648,0.000575119275645777
15,2021-10-25,13442,202,0.0168615371807357,9.47302210492057e-05
15,2021-10-26,10602,141,0.0150592749177676,0.000120407690115138
15,2021-10-27,8694,123,0.0164423344380743,0.000149257298609332
15,2021-10-28,8437,107,0.0140080838668964,0.000153508123995415
15,2021-10-29,7484,103,0.0153799353456814,0.000176845458806501
15,2021-10-30,4127,57,0.0151110810456509,0.00031038924819504
15,2021-10-31,2550,27,0.0105361515409844,0.000511849564455853
15,2021-11-01,11390,111,0.010860903349366,0.000115228888395981
15,2021-11-02,6741,73,0.0126248686638537,0.00019187522949269
15,2021-11-03,4113,64,0.0160143594323642,0.000314610142634689
15,2021-11-04,1280,16,0.0112504022011718,0.00102297390775384
15,2021-11-05,484,5,0.0171165289007619,0.00271035040470287
15,2021-11-06,79,0,0,0.0160952748151965
15,2021-11-08,10,0,0,0.145473999755746
16,2021-11-23,2579,35,0.0146952764534523,0.000535302778618505
16,2021-11-24,5293,62,0.0128460954541803,0.000256035147551322
16,2021-11-25,6821,85,0.0148613983663728,0.000204048487076458
16,2021-11-26,6013,68,0.0123334275621791,0.000229998024913361
16,2021-11-27,3549,56,0.0168732886744302,0.000397915785746392
16,2021-11-28,2448,26,0.0126013773931264,0.000546900315955099
16,2021-11-29,12537,114,0.0103707252080362,0.000108508943026321
16,2021-11-30,10798,126,0.0145315937720681,0.000125798206045717
16,2021-12-01,6428,79,0.013306273680691,0.0002077727137934
16,2021-12-02,5868,70,0.0138533804146041,0.000229367839588572
16,2021-12-03,4964,56,0.0116684718493903,0.000279089275411336
16,2021-12-04,2488,27,0.0121258686348121,0.000571876977824728
16,2021-12-05,1383,25,0.0208490652329823,0.00103878925870994
16,2021-12-06,5279,55,0.0122640505545444,0.000263152003908547
16,2021-12-07,3846,55,0.0146564397323435,0.000356721247420176
16,2021-12-08,3227,43,0.0164656337061146,0.000419788461974527
16,2021-12-09,2367,31,0.0150881693443967,0.000572846555322892
16,2021-12-10,2776,27,0.0130413990459865,0.000502497232275311
16,2021-12-11,1281,18,0.0172645188580219,0.00109051446212913
16,2021-12-12,798,17,0.0264750985275014,0.00170684770149313
16,2021-12-13,2975,50,0.0202074544013273,0.000494371864310754
16,2021-12-14,1556,33,0.0231845777801758,0.000916372887009974
16,2021-12-15,442,8,0.0242200229764238,0.00312716874249507
16,2021-12-16,163,3,0.0197043290231418,0.00855258827357655
16,2021-12-17,56,1,0.013695020951223,0.0252962200101395
17,2022-01-05,3376,177,0.0532810346647502,0.000419767996993927
17,2022-01-06,6463,323,0.0573377736668444,0.000205121889042674
17,2022-01-07,7870,330,0.0465413858027953,0.000169941603653676
17,2022-01-08,5031,242,0.0504046204916323,0.000266855248722913
17,2022-01-09,3277,136,0.0436072905014971,0.000420301711879684
17,2022-01-10,16593,599,0.0398081673825448,7.99102848637416e-05
